,userID,friendID
0,2,275
1,2,428
2,2,515
3,2,761
4,2,831
5,2,909
6,2,1209
7,2,1210
8,2,1230
9,2,1327
10,2,1585
11,2,1625
12,2,1869
13,3,78
14,3,255
15,3,460
16,3,837
17,3,1740
18,3,1801
19,3,1975
20,4,99
21,4,124
22,4,211
23,4,264
24,4,493
25,4,520
26,4,534
27,4,850
28,4,1103
29,4,2080
30,5,228
31,5,725
32,5,831
33,5,1271
34,5,1310
35,5,1481
36,5,1785
37,6,149
38,6,831
39,6,1271
40,6,1697
41,6,1761
42,7,46
43,7,232
44,7,390
45,7,545
46,7,815
47,7,873
48,7,1002
49,7,1135
50,7,1184
51,7,1308
52,7,1453
53,7,1466
54,7,1649
55,7,1666
56,7,1734
57,7,2020
58,7,2037
59,7,2061
60,8,339
61,8,370
62,8,419
63,8,749
64,8,831
65,8,1017
66,8,1178
67,8,1515
68,8,1568
69,8,1811
70,8,1813
71,9,743
72,9,831
73,9,1956
74,10,1196
75,10,1498
76,10,1530
77,10,1562
78,10,1986
79,11,12
80,11,25
81,11,129
82,11,136
83,11,145
84,11,230
85,11,278
86,11,405
87,11,684
88,11,795
89,11,804
90,11,816
91,11,859
92,11,984
93,11,1017
94,11,1132
95,11,1136
96,11,1178
97,11,1179
98,11,1189
99,11,1310
100,11,1475
101,11,1577
102,11,1684
103,11,1766
104,11,1780
105,11,1828
106,11,2004
107,11,2021
108,12,11
109,12,46
110,12,127
111,12,133
112,12,146
113,12,236
114,12,240
115,12,258
116,12,400
117,12,545
118,12,593
119,12,684
120,12,730
121,12,797
122,12,861
123,12,930
124,12,941
125,12,998
126,12,1023
127,12,1056
128,12,1088
129,12,1145
130,12,1146
131,12,1253
132,12,1272
133,12,1308
134,12,1346
135,12,1348
136,12,1368
137,12,1455
138,12,1568
139,12,1628
140,12,1636
141,12,1709
142,12,1726
143,12,1776
144,12,1820
145,12,1895
146,12,2004
147,12,2020
148,13,390
149,13,405
150,13,481
151,13,732
152,13,816
153,13,1135
154,13,1184
155,13,1659
156,13,1766
157,13,1780
158,13,2041
159,14,608
160,14,642
161,14,754
162,14,1258
163,14,1357
164,14,1554
165,14,1702
166,14,1761
167,15,122
168,15,143
169,15,237
170,15,266
171,15,416
172,15,454
173,15,771
174,15,1243
175,15,1258
176,15,1281
177,15,1383
178,15,1498
179,15,1556
180,15,1625
181,15,1662
182,15,1785
183,15,1805
184,15,1879
185,15,1993
186,15,2025
187,15,2036
188,16,143
189,16,252
190,16,339
191,16,437
192,16,545
193,16,701
194,16,726
195,16,732
196,16,743
197,16,790
198,16,815
199,16,1226
200,16,1263
201,16,1503
202,16,1567
203,16,1568
204,16,1632
205,16,1665
206,16,1706
207,16,1833
208,16,1895
209,16,1937
210,16,2000
211,16,2068
212,17,330
213,17,339
214,17,593
215,17,632
216,17,1071
217,17,1661
218,17,1917
219,18,298
220,18,308
221,18,401
222,18,475
223,18,675
224,18,1183
225,18,1302
226,18,1424
227,18,1458
228,18,1465
229,20,1281
230,20,1891
231,21,207
232,21,1023
233,21,1233
234,21,1305
235,21,1515
236,21,1568
237,21,1646
238,21,1811
239,21,1993
240,22,59
241,22,80
242,22,170
243,22,198
244,22,349
245,22,395
246,22,655
247,22,831
248,22,903
249,22,1249
250,22,1362
251,22,1543
252,22,1589
253,22,1865
254,22,2000
255,23,107
256,23,1258
257,24,136
258,24,150
259,24,231
260,24,329
261,24,361
262,24,390
263,24,417
264,24,419
265,24,435
266,24,502
267,24,675
268,24,732
269,24,804
270,24,831
271,24,898
272,24,1017
273,24,1027
274,24,1033
275,24,1102
276,24,1184
277,24,1233
278,24,1308
279,24,1590
280,24,1722
281,24,1869
282,24,1973
283,25,11
284,25,236
285,25,310
286,25,390
287,25,463
288,25,636
289,25,726
290,25,852
291,25,1027
292,25,1113
293,25,1222
294,25,1308
295,25,1466
296,25,1552
297,25,1647
298,25,1662
299,25,2020
300,25,2056
301,26,212
302,26,1094
303,26,1642
304,26,1986
305,26,2041
306,27,758
307,27,831
308,27,1956
309,27,2036
310,28,2025
311,29,946
312,30,133
313,30,136
314,30,229
315,30,390
316,30,487
317,30,501
318,30,638
319,30,751
320,30,1130
321,30,1132
322,30,1263
323,30,1283
324,30,1455
325,30,1503
326,30,1590
327,30,1614
328,30,2020
329,31,62
330,31,99
331,31,210
332,31,211
333,31,218
334,31,306
335,31,371
336,31,396
337,31,474
338,31,499
339,31,520
340,31,534
341,31,575
342,31,658
343,31,762
344,31,859
345,31,954
346,31,1081
347,31,1163
348,31,1164
349,31,1173
350,31,1213
351,31,1255
352,31,1343
353,31,1514
354,31,1653
355,31,1835
356,31,2097
357,32,889
358,32,1258
359,32,1474
360,32,1486
361,32,1905
362,33,282
363,33,457
364,33,496
365,33,750
366,33,845
367,33,1231
368,33,1779
369,34,1498
370,35,972
371,36,525
372,36,747
373,36,949
374,37,59
375,37,122
376,37,142
377,37,1249
378,37,1660
379,37,1662
380,37,1879
381,38,383
382,39,78
383,39,1125
384,39,1543
385,39,2003
386,40,78
387,40,135
388,40,142
389,40,161
390,40,325
391,40,1089
392,40,1393
393,40,1543
394,40,1841
395,40,2003
396,40,2055
397,41,84
398,41,107
399,42,545
400,42,1778
401,43,143
402,43,172
403,43,179
404,43,193
405,43,260
406,43,310
407,43,419
408,43,463
409,43,481
410,43,615
411,43,637
412,43,658
413,43,691
414,43,743
415,43,757
416,43,859
417,43,1013
418,43,1076
419,43,1084
420,43,1167
421,43,1410
422,43,1469
423,43,1491
424,43,1503
425,43,1785
426,43,2006
427,44,319
428,44,485
429,44,972
430,44,1138
431,44,1152
432,44,1240
433,44,1381
434,45,46
435,45,49
436,45,240
437,45,271
438,45,400
439,45,413
440,45,514
441,45,518
442,45,537
443,45,542
444,45,589
445,45,1056
446,45,1080
447,45,1253
448,46,7
449,46,12
450,46,45
451,46,47
452,46,121
453,46,132
454,46,146
455,46,158
456,46,214
457,46,226
458,46,227
459,46,231
460,46,232
461,46,236
462,46,248
463,46,253
464,46,271
465,46,280
466,46,302
467,46,318
468,46,322
469,46,335
470,46,355
471,46,362
472,46,400
473,46,413
474,46,415
475,46,419
476,46,497
477,46,527
478,46,531
479,46,536
