443	174	786
1197	325	744
826	2009	18
1186	302	810
586	4271	3625
2052	1358	3151
1799	89	470
785	234	71
392	459	53
1809	1974	229
474	39	1491
41	843	637
889	6108	832
1396	1337	191
1019	289	233
1152	599	108
908	3190	44
295	1261	641
632	913	683
95	89	309
158	3483	2146
310	5528	153
1606	325	762
1535	532	551
1919	227	35
1973	930	2091
1284	2671	1277
765	2268	373
1384	1239	291
1838	65	304
1538	602	15
1718	1427	190
702	295	1326
1826	506	700
1424	1242	439
660	9018	138
579	1274	321
586	8328	128
123	3025	6756
1992	434	668
1384	53	194
955	55	2352
563	8130	411
529	2569	605
405	6565	337
673	8810	220
1778	475	593
1517	903	2321
913	1090	1585
1770	4029	419
392	67	48
1363	537	2846
1914	1425	470
1425	5048	236
1433	7655	438
1500	172	197
398	1977	132
1908	253	163
193	2271	770
376	2744	427
955	715	378
66	993	611
481	292	516
921	2227	1191
1541	14639	28
1428	917	628
925	11084	1807
331	5759	88
537	1447	22
854	830	236
876	1083	166
1559	4474	425
705	8361	682
1224	583	85
1010	3859	3
2009	629	592
306	51	76
433	6802	603
1402	172	56
370	599	1015
1149	172	12
1937	971	386
571	2977	510
2094	5266	1197
233	461	835
1434	302	19898
1774	16597	34
747	1197	545
1380	3464	255
1951	7743	258
1835	89	30
1595	72	5234
321	5670	52
675	288	1041
1981	689	126
537	2098	21
349	5968	357
662	7898	739
1952	2460	191
2005	81	835
1741	210	1061
1404	227	508
1704	3302	33
1212	233	1673
1517	332	1297
426	1383	381
439	6896	981
1947	716	59
1861	9805	186
1632	386	140
656	8995	21
2024	225	12
2009	207	511
860	2006	376
1623	2458	829
1161	10582	838
1533	575	1630
1994	5926	85
1518	14523	756
378	2346	1151
324	2342	3440
795	701	380
1363	2441	1520
1633	913	254
1671	13123	383
1182	2574	569
877	1529	370
371	1788	312
1601	16	236
1333	1502	249
166	3675	82
344	5917	1
1907	17509	266
2005	11211	430
1211	6780	81
502	915	310
1963	1694	1130
510	7616	21
1809	1206	1064
1288	13702	105
1863	2025	161
1154	4126	1312
1938	2463	441
1889	2265	694
977	377	44
771	7259	9
1844	1090	561
1682	1378	779
848	3685	550
1430	5099	79
185	864	129
181	3836	91
258	329	2
986	1200	68
1159	4428	266
632	89	3426
1950	1424	1272
1630	604	831
1282	3756	179
1009	229	141
293	5306	684
770	386	662
1838	55	1043
1052	5746	159
62	961	118
1321	735	262
700	331	495
1491	236	202
1723	57	44
479	913	20
1054	4230	1100
1050	3694	771
347	726	212
1132	289	19348
1223	1519	710
1941	2121	207
1015	11804	142
1024	198	3969
2028	2670	179
1372	10208	145
319	5647	268
634	184	350
1941	13468	2347
377	923	1581
982	229	62
909	536	303
1963	4918	172
1798	1121	29
1262	4879	1
518	306	59
1810	3461	1
1794	173	68
1085	12206	371
1102	1097	904
1678	466	113
487	471	133
1082	2000	427
357	6035	791
64	1840	168
1457	458	484
1623	1116	1547
249	968	462
1648	306	57
1813	16832	147
1002	299	110
1197	1590	900
391	6443	268
953	229	100
8	348	504
1817	16846	785
760	4087	399
343	857	69
1305	302	246
229	3542	3
745	9755	603
401	412	455
1372	441	187
1863	17206	62
580	805	844
1100	81	179
1805	234	229
2010	228	1029
1305	299	1643
1439	3193	429
119	821	178
661	9063	129
1212	2346	265
735	1369	109
1490	2384	815
596	2470	310
1647	486	258
1026	1079	403
1336	7038	122
2086	3475	89
1032	583	121
608	8567	14
516	3244	715
1844	67	1623
185	3912	67
1977	1708	480
1908	1243	469
884	913	565
1212	533	333
38	562	26
1969	1959	371
1503	1044	402
49	1498	96
1578	466	114
312	1918	478
1179	1681	105
47	333	1001
1363	3197	1233
612	289	218
989	418	1149
2035	212	120
812	1104	540
11	89	3384
1514	4311	174
1308	55	1294
25	531	186
1481	5440	1389
359	1886	3119
32	1099	221
753	9819	320
663	5335	248
238	4660	379
1084	3767	445
1153	709	1447
792	536	942
853	1463	465
912	735	1412
2100	837	762
1340	5600	450
43	229	231
1793	4316	2419
1779	4970	78
1375	707	122
154	2983	18
509	6257	2
804	161	360
1862	17203	93
275	30	33
1900	2938	223
997	1948	357
1536	1347	128
1568	15356	168
786	5018	1577
1936	15260	329
2047	748	503
1185	12990	494
1969	248	394
1620	15615	275
485	755	29
876	1888	100
736	9690	826
2080	1836	787
386	6364	185
206	969	129
1514	5503	266
899	537	765
386	6357	256
292	4064	166
718	2675	221
1619	378	598
236	333	487
302	1037	924
527	1379	147
1833	1449	388
1508	903	420
1479	814	142
1163	12818	3
1611	998	499
1005	6226	707
1421	622	39
926	6878	152
1848	433	304
887	1994	1693
396	1397	310
643	8656	251
14	595	607
297	1098	846
1027	314	2841
457	1360	200
1555	323	704
1408	2179	6
1067	4791	947
1134	1772	6
536	220	33
1323	5922	225
1617	15582	350
145	3081	1043
1390	1764	231
1778	533	2984
2004	172	282
1245	403	1111
1199	13066	669
601	8444	425
125	2014	65
1061	8123	475
1466	294	184
1660	3417	163
1331	11511	527
658	1379	138
991	152	1747
1544	1104	140
1637	5414	893
907	734	505
1734	461	687
1751	751	94
555	530	123
501	525	84
1259	185	260
45	1447	112
1057	3125	227
301	1803	114
881	10798	1424
1684	16044	5
205	759	1063
1277	1873	1182
1819	6385	27
759	89	747
928	1965	53
580	1122	672
759	1767	182
556	691	11
1309	1118	1088
66	1888	544
1084	64	1309
910	58	2798
2024	221	6
368	418	352
