,precision,recall,ndcg
0,0.00047821466524973434,0.0009564293304994687,0.0007188773307457082
10,0.10127523910733263,0.20571938835753925,0.20507787137625028
20,0.11222104144527097,0.2276565372872493,0.22768089166892527
30,0.11681721572794898,0.23734924008569064,0.23815586552458723
40,0.12106801275239108,0.24608614611271365,0.24469605665687671
50,0.12202444208289051,0.24804623585176191,0.2486008228047812
60,0.12337938363443142,0.25071774370392863,0.2523809756800029
70,0.1240701381509033,0.2520992527368723,0.25352643795971463
80,0.1252125398512221,0.2544705058785824,0.25599586956565323
90,0.12539851222104142,0.2549913128552873,0.25609863682982065
100,0.12476089266737514,0.2537443280535736,0.25450693133325963
110,0.12545164718384696,0.25494366007118396,0.25540247367945734
120,0.12497343251859723,0.254248266788118,0.2557487089357228
130,0.12433581296493093,0.25289712059106323,0.2530222319537103
140,0.12404357066950054,0.2521000961489803,0.2523013669123784
150,0.12298087141339,0.24991713476038663,0.250570978340972
160,0.12438894792773646,0.25282859335728625,0.2524668017566557
170,0.1252922422954304,0.2545483106455476,0.25421980397224775
180,0.1252125398512221,0.2544669213771233,0.2547484890990711
190,0.12420297555791711,0.2524227012802996,0.2533599284236804
200,0.12372476089266736,0.2513762377072686,0.2513449577686891
210,0.12337938363443146,0.2506382521127474,0.25127583735540626
220,0.12255579171094583,0.2489638682252923,0.2504425527961612
230,0.12252922422954302,0.24908531956884772,0.2509075835184363
240,0.1229277364505845,0.24974086162980955,0.2507657437274147
250,0.12375132837407013,0.2514072331022385,0.2510455788840232
260,0.12226354941551543,0.2485725250071691,0.24759270873466738
270,0.12258235919234857,0.24916902822056913,0.24816232182841028
280,0.12236981934112647,0.2487776850024459,0.24828928790062912
290,0.12356535600425082,0.2512151459946359,0.24952015236624928
300,0.12268862911795964,0.2494195216166523,0.2489405278152627
310,0.12282146652497343,0.2499340030025471,0.24815713153672372
320,0.1222901168969182,0.24871864615488423,0.24717705639387988
330,0.1223432518597237,0.24861237622927312,0.24732498487965374
340,0.12361849096705631,0.2512455088305248,0.24886370240959518
350,0.12332624867162592,0.2506669281244202,0.24902880478456854
360,0.12210414452709883,0.24831633857935664,0.24730558758027094
370,0.1217853347502657,0.24721315554206102,0.24537536119358075
380,0.12236981934112645,0.24891431776394582,0.24721838791588405
390,0.12308714133900105,0.24983089587234109,0.24853870776301193
400,0.12157279489904355,0.24681253479074944,0.24725376457506806
410,0.12175876726886291,0.24725026567481398,0.24805308518253644
420,0.12321997874601487,0.2506146365737227,0.24998197110952786
430,0.12287460148777896,0.24985303544017679,0.24890537542108626
440,0.12199787460148778,0.2478516185078353,0.24592471495437343
450,0.1223432518597237,0.24885527891638415,0.24779777858202667
460,0.1227683315621679,0.24974676551456576,0.249592525737748
470,0.12292773645058451,0.24993568982676312,0.24841148831287166
480,0.12324654622741765,0.25054463336875665,0.24732866227751424
490,0.12141339001062701,0.24689518917733586,0.2455238548532821
500,0.12329968119022318,0.2505988225966972,0.25093168617614003
