,precision,recall,ndcg
0,0.00023910733262486714,0.0004782146652497343,0.0005417532913897277
10,0.10231137088204037,0.20783656360170707,0.20909989187054376
20,0.10783740701381508,0.21875748528245872,0.21716463391578472
30,0.10863443145589799,0.22036629387851492,0.2192345907580395
40,0.10804994686503719,0.21921271696776481,0.21699013094497718
50,0.10714665249734323,0.21788518630973466,0.21373613093329627
60,0.10850159404888418,0.22060308182784275,0.21668136430582033
70,0.10674814027630183,0.21707656495116645,0.21334938260658304
80,0.1078374070138151,0.21920196346338752,0.21312239332666805
90,0.10597768331562167,0.21566954270195504,0.20979218901269794
100,0.10483528161530288,0.2132809996120304,0.20917931237462478
110,0.10653560042507972,0.2164899718300356,0.21160750850072876
120,0.10706695005313495,0.2181489634465193,0.2127429904047727
130,0.10552603613177469,0.21460789771097954,0.20930951238191667
140,0.10358660998937301,0.21015067557309852,0.20374355139438194
150,0.10483528161530287,0.21258307609264043,0.20478838326764576
160,0.10409139213602553,0.21137994872054386,0.20245687612952915
170,0.10414452709883104,0.211595651367171,0.2046892681578105
180,0.10425079702444208,0.21198910311556435,0.20382862542184754
190,0.10385228480340063,0.21145227130880687,0.20323058853024853
200,0.10095642933049948,0.20495019651502117,0.1976652818237047
210,0.10257704569606803,0.20845035676332171,0.20151635310107016
220,0.10180658873538788,0.20651451512237912,0.2001941454265252
230,0.10207226354941551,0.20772544405647492,0.1997947970125738
240,0.1013018065887354,0.20546720813724,0.19842661707986767
250,0.10053134962805527,0.2039165949766375,0.1953450099660442
260,0.10053134962805525,0.20402328660830257,0.19453571576168824
270,0.10077045696068011,0.20431784828703,0.1955299925676485
280,0.09949521785334749,0.20177074372079687,0.19604358518746282
290,0.10209883103081828,0.20702857480221987,0.19756630739645015
300,0.09952178533475027,0.20170411416426298,0.19440945340223922
310,0.09984059511158343,0.2027668134203735,0.19504516003091685
320,0.09938894792773646,0.20146732621493516,0.1943899257904378
330,0.0980605738575983,0.19878021523877,0.19015303359435665
340,0.09925611052072265,0.20130033061754635,0.19316340239149637
350,0.10098299681190222,0.20478805053725355,0.19456403537522696
360,0.10026567481402762,0.2036728488774185,0.19627772492766932
370,0.09925611052072263,0.2012265320580942,0.19488659946721068
380,0.09938894792773646,0.20136843614526928,0.19395988589770335
390,0.10069075451647186,0.20424721252298303,0.1971685338519105
400,0.09994686503719447,0.20246213079634975,0.19274847145729201
410,0.09962805526036132,0.20195439670731916,0.19338375352662174
420,0.09949521785334749,0.20225254288750572,0.1930971372187117
430,0.0993623804463337,0.20182872830322357,0.1945647798506538
440,0.09981402763018066,0.2022451630315605,0.19382400605458788
450,0.10167375132837407,0.2065429802810249,0.19751145640948398
460,0.09981402763018066,0.20297134085656934,0.19626138189699335
470,0.10063761955366632,0.20456032926808698,0.19450227922526264
480,0.09914984059511157,0.20099585884654964,0.19079162366337013
490,0.09941551540913923,0.20208069767049577,0.1923466503143039
500,0.10204569606801275,0.20805690501492835,0.1969459154379002
