,precision,recall,ndcg
0,0.0006376195536663124,0.001275239107332625,0.0009506261327708292
10,0.08998405951115836,0.1830117824671491,0.17146174536911366
20,0.07287460148777895,0.1489463674240507,0.11822953030707585
30,0.0530818278427205,0.10896842265067555,0.0846418775509322
40,0.046094580233793835,0.09465445405934249,0.07095434183907039
50,0.03326248671625931,0.06943664288244522,0.05179392507870642
60,0.026301806588735394,0.05535018470725165,0.04331665200779896
70,0.023459086078639745,0.04887130374643659,0.0379602007856876
80,0.02029755579171095,0.042982178702157446,0.033024521581263226
90,0.01965993623804463,0.04128333586356966,0.03270829372946398
100,0.018278427205100957,0.03933652986522274,0.029783884340518704
110,0.015781083953241234,0.03466360508071454,0.025105138103384248
120,0.01628586609989373,0.03562593829597018,0.026994850338081394
130,0.016073326248671627,0.03442597371927871,0.02582608183528597
140,0.014054197662061636,0.03053531366496297,0.02273139041044475
150,0.014187035069075453,0.02994492518934602,0.02353525397357834
160,0.014346439957492029,0.03136776141558288,0.023435749537799776
170,0.013496280552603612,0.02887779801966837,0.02166848259327477
180,0.013921360255047824,0.030479437612806373,0.022987563500907963
190,0.012646121147715197,0.026866260142030595,0.020498434968352342
200,0.01301806588735388,0.02861212320564074,0.020919850974568402
210,0.013230605738575985,0.02812442015417574,0.02202002791933963
220,0.012964930924548354,0.02799390213045899,0.02222342217169123
230,0.012725823591923483,0.028265480829242785,0.021730520989899197
240,0.012832093517534539,0.027818261558962942,0.020467784830426043
250,0.01309776833156217,0.028970151645497023,0.02178210087164984
260,0.012805526036131772,0.027523699880235484,0.022116569481716624
270,0.01269925611052072,0.028152463606767535,0.02154618171676172
280,0.012991498405951117,0.027903024475819375,0.021796405568778085
290,0.011317747077577045,0.02448973567464534,0.01957267504212162
300,0.011450584484590862,0.02472884300727022,0.018564468897189476
310,0.012008501594048884,0.026035077509572728,0.020556014736288857
320,0.011742826780021252,0.0255361992476764,0.019375982363578247
330,0.011928799149840595,0.0259612789501206,0.020742936756593635
340,0.011556854410201914,0.02469953443651637,0.01860554088719786
350,0.012247608926673752,0.026811438355009026,0.02057927624913861
360,0.01259298618490967,0.028095533289475904,0.021473138535691258
370,0.012805526036131776,0.027264561510045034,0.020584629761791314
380,0.011875664187035067,0.02564837305804363,0.01965848980050982
390,0.011663124335812965,0.02493843091611423,0.018852674590848956
400,0.01206163655685441,0.02572217161749574,0.02032239084300511
410,0.011955366631243358,0.026064596933353574,0.02054721367400902
420,0.01171625929861849,0.025716267732739575,0.019747034770576995
430,0.011902231668437832,0.025571622556213414,0.020460459227487945
440,0.010972369819341125,0.023540686200091084,0.018071719044048022
450,0.01206163655685441,0.025525867449353104,0.01981309391127915
460,0.01137088204038257,0.024089747482414856,0.019717316824546475
470,0.01110520722635494,0.024021852807718905,0.018193271981145114
480,0.010786397449521784,0.02360267699003087,0.018125053976571735
490,0.0096971307120085,0.02077471619182565,0.016805354154385485
500,0.010520722635494155,0.022634439890019065,0.018015773685432893
