,precision,recall,ndcg
0,0.0005047821466524973,0.0010228480340063763,0.0007171336682183748
10,0.105605738575983,0.2148470050436044,0.21436504972862871
20,0.11014877789585549,0.2241416173270584,0.21982165538795476
30,0.11012221041445269,0.22460254204409355,0.2198549541184307
40,0.10916578108395325,0.22180304640453422,0.21625502156246723
50,0.10858129649309246,0.22090059544894827,0.21425630391770023
60,0.1072529224229543,0.21836508779920047,0.21160674717579414
70,0.1060308182784272,0.21616019769579808,0.2091558386321731
80,0.10603081827842721,0.21608998363780516,0.20981557308286972
90,0.10441020191285866,0.2131778924818245,0.20414493437044104
100,0.10329436769394262,0.21068645311472095,0.20155587369401923
110,0.1036663124335813,0.21079947033719618,0.20348053420041634
120,0.10310839532412326,0.21031092387362316,0.2056963265233779
130,0.10047821466524974,0.20505836411787526,0.19898409017961752
140,0.10119553666312434,0.20660370595280272,0.19767439511569468
150,0.101567481402763,0.20737057841202372,0.19796597090244208
160,0.10180658873538787,0.20750995226287466,0.19702218686170284
170,0.10095642933049948,0.20597958099286476,0.19729065454889644
180,0.101009564293305,0.20585243661758007,0.19735077339758522
190,0.10066418703506909,0.2053676855084932,0.19524976171196895
200,0.09893730074388948,0.2016615218528077,0.19199794211826693
210,0.09909670563230605,0.20200816422920567,0.19480858720357036
220,0.09930924548352817,0.20284229880404167,0.19361479794899863
230,0.09968119022316685,0.20371227839346862,0.19354127012986905
240,0.09930924548352817,0.2026308132179546,0.19317875206840152
250,0.10085015940488838,0.20587584130357778,0.19573055017491406
260,0.09880446333687568,0.20172836226236865,0.19125552182339758
270,0.09739638682252921,0.19854195131825314,0.18810353891301376
280,0.09832624867162593,0.19956775129463758,0.18975604441218427
290,0.09949521785334749,0.20224663900274953,0.19083068646020926
300,0.09670563230605739,0.19637164111127978,0.1859849045344818
310,0.0972635494155154,0.19797602179376889,0.18999380936812002
320,0.09869819341126461,0.20082317021743162,0.19029466407323947
330,0.09689160467587671,0.1967001501273552,0.1891794194931924
340,0.09843251859723699,0.19993779835703326,0.19174196403435853
350,0.09808714133900107,0.1991833662264056,0.18863149274857471
360,0.09888416578108394,0.20113966061096772,0.19448690970635893
370,0.09853878852284803,0.2001532901506334,0.1892300718526529
380,0.09872476089266738,0.20024922827792122,0.18904644439304927
390,0.09806057385759828,0.1982071167113675,0.1893396036297176
400,0.0979011689691817,0.19833468279270616,0.18982025109582143
410,0.0983262486716259,0.19964745373884585,0.19148104186716144
420,0.09981402763018066,0.20310270229239413,0.19351736951114404
430,0.09968119022316684,0.2025816844626622,0.1934148139149344
440,0.09798087141339,0.1995913668336623,0.19070749461745193
450,0.09853878852284803,0.200906457163099,0.19187796198423535
460,0.09654622741764082,0.1962223571681595,0.18713653746773376
470,0.09782146652497344,0.19933075249228277,0.19229837177517525
480,0.0977948990435707,0.1991580638631648,0.1909976887806129
490,0.0977151965993624,0.1985130644535533,0.18820919268004152
500,0.09994686503719447,0.20317650085184624,0.1939396777915886
